id,host_id,host_response_time,host_response_rate,host_is_superhost,host_listings_count,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,reviews_per_month,crime,year
27556031,157584016,within an hour,100%,t,23.0,"Long Beach, CA, United States",Long Beach,Long Beach,Other Cities,Long Beach,CA,90803,Los Angeles,"Long Beach, CA",US,United States,33.76392,-118.13855,Apartment,Entire home/apt,2,1.0,0.0,1.0,,165.0,,,$200.00,$67.00,1,$0.00,1,90,5 weeks ago,0,4,34,124,22,95.0,10.0,10.0,10.0,10.0,1.37,148.0,2019.0
24019992,31102550,within an hour,100%,t,45.0,"Los Angeles, CA, United States",Mid-Wilshire,East Hollywood,City of Los Angeles,Los Angeles,CA,90004,Los Angeles,"Los Angeles, CA",US,United States,34.07778,-118.30568999999998,Apartment,Private room,2,1.0,1.0,1.0,,38.0,,,$200.00,$50.00,1,$5.00,31,1125,5 days ago,30,31,57,147,125,98.0,10.0,9.0,10.0,9.0,6.12,47879.0,2019.0
11554523,3075694,within an hour,100%,t,4.0,"Los Angeles, CA, United States",Hollywood Hills,Hollywood Hills,City of Los Angeles,Los Angeles,CA,90068,Los Angeles,"Los Angeles, CA",US,United States,34.107240000000004,-118.34012,Villa,Entire home/apt,3,1.0,2.0,2.0,,245.0,,,$500.00,$170.00,2,$0.00,3,1125,4 days ago,5,22,31,283,70,98.0,10.0,10.0,10.0,10.0,2.25,47879.0,2019.0
28289822,213646170,within an hour,100%,t,1.0,"Los Angeles, CA, United States",South LA,View Park-Windsor Hills,Unincorporated Areas,Los Angeles,CA,90043,Los Angeles,"Los Angeles, CA",US,United States,33.99671,-118.33742,House,Private room,4,1.0,1.0,1.0,,100.0,,,,,2,$25.00,1,1125,yesterday,25,55,85,112,72,97.0,10.0,10.0,10.0,10.0,4.91,47879.0,2019.0
9280040,46242870,within an hour,100%,t,1.0,"Los Angeles, CA, United States",South Robertson,Pico-Robertson,City of Los Angeles,Los Angeles,CA,90035,Los Angeles,"Los Angeles, CA",US,United States,34.05188,-118.38618999999998,House,Entire home/apt,2,1.0,1.0,1.0,,100.0,,,$250.00,$45.00,1,$0.00,3,28,2 weeks ago,1,3,23,197,162,100.0,10.0,10.0,10.0,10.0,3.64,47879.0,2019.0
19951592,24563544,,,f,1.0,"Los Angeles, CA, United States",Downtown,Downtown,City of Los Angeles,Los Angeles,CA,90012,Los Angeles,"Los Angeles, CA",US,United States,34.06231,-118.24595,Apartment,Private room,2,1.0,1.0,1.0,,79.0,,,$100.00,$25.00,1,$0.00,1,1125,26 months ago,0,0,0,0,20,99.0,10.0,10.0,9.0,9.0,0.7,47879.0,2019.0
38487218,289526258,within a few hours,93%,f,4.0,"Los Angeles, CA, United States",Hollywood,Hollywood,City of Los Angeles,Los Angeles,CA,90028,Los Angeles,"Los Angeles, CA",US,United States,34.098,-118.32961999999999,Apartment,Entire home/apt,4,1.0,1.0,1.0,,150.0,,,$0.00,$100.00,1,$0.00,2,1125,2 weeks ago,5,28,51,299,8,95.0,10.0,9.0,9.0,10.0,3.75,47879.0,2019.0
37694665,279288721,within an hour,100%,f,15.0,"Los Angeles, CA, United States",Mid-Wilshire,Mid-Wilshire,City of Los Angeles,Los Angeles,CA,90019,Los Angeles,"Los Angeles, CA",US,United States,34.04933,-118.34065,House,Shared room,1,5.0,1.0,1.0,,26.0,,,,,1,$0.00,30,1125,3 months ago,30,60,89,89,2,90.0,9.0,10.0,9.0,10.0,0.56,47879.0,2019.0
29990020,98516695,within an hour,100%,t,1.0,"Los Angeles, CA, United States",Lake Balboa,Lake Balboa,City of Los Angeles,Los Angeles,CA,91406,Los Angeles,"Los Angeles, CA",US,United States,34.19885,-118.49723,Guesthouse,Entire home/apt,2,1.0,1.0,2.0,,105.0,,,$100.00,$50.00,3,$100.00,2,1125,2 months ago,8,38,68,343,91,98.0,10.0,10.0,10.0,10.0,7.04,47879.0,2019.0
4880971,23863599,within a day,71%,f,2.0,"Los Angeles, CA, United States",Mid-Wilshire,Fairfax,City of Los Angeles,Los Angeles,CA,90036,Los Angeles,"Los Angeles, CA",US,United States,34.07609,-118.35976000000001,Apartment,Private room,2,1.0,1.0,1.0,,130.0,,,$0.00,$70.00,1,$0.00,4,1125,2 months ago,30,56,86,361,13,91.0,9.0,9.0,10.0,10.0,0.26,47879.0,2019.0
