id,host_id,host_response_time,host_response_rate,host_is_superhost,host_listings_count,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,reviews_per_month,crime,year,# point of interest
27402246,171503602,,,f,1.0,"Los Angeles, CA, United States",Echo Park,Echo Park,City of Los Angeles,Los Angeles,CA,90026.0,Los Angeles,"Los Angeles, CA",US,United States,34.08375,-118.25794,House,Private room,2,1.0,0.0,1.0,,85.0,,,,$80.00,1,$0.00,1,1125,16 months ago,0,0,0,0,3,100.0,10.0,10.0,10.0,10.0,0.19,47879.0,2019.0,
5627346,9355137,within an hour,100%,f,2.0,"Los Angeles, CA, United States",Cahuenga Pass,Hollywood Hills,City of Los Angeles,Los Angeles,CA,90068.0,Los Angeles,"Los Angeles, CA",US,United States,34.12595,-118.3484,Loft,Private room,1,2.0,2.0,2.0,,69.0,$450.00,"$1,595.00",$500.00,$100.00,1,$35.00,30,1125,5 weeks ago,4,34,64,154,9,98.0,10.0,10.0,10.0,10.0,0.16,47879.0,2019.0,
39090938,299617303,within an hour,100%,f,0.0,"Los Angeles, CA, United States",Mid-Wilshire,East Hollywood,City of Los Angeles,Los Angeles,CA,90004.0,Los Angeles,"Los Angeles, CA",US,United States,34.08155,-118.3069,House,Private room,5,1.0,2.0,3.0,,150.0,,,$500.00,$80.00,1,$0.00,1,27,4 days ago,3,24,54,144,3,93.0,9.0,9.0,10.0,9.0,1.7,47879.0,2019.0,
20678163,4271811,,,f,2.0,"Los Angeles, CA, United States",Mar Vista,Mar Vista,City of Los Angeles,Los Angeles,CA,90066.0,Los Angeles,"Los Angeles, CA",US,United States,34.00108,-118.44092,House,Private room,2,1.0,1.0,1.0,,81.0,,,$500.00,$50.00,2,$0.00,3,354,5 days ago,0,0,0,95,4,95.0,10.0,10.0,10.0,10.0,0.26,47879.0,2019.0,
5299075,3118435,within a few hours,93%,f,9.0,"Santa Monica, CA, United States",Santa Monica,Santa Monica,Other Cities,Santa Monica,CA,90401.0,Los Angeles,"Santa Monica, CA",US,United States,34.01943,-118.491,Apartment,Entire home/apt,3,1.0,1.0,2.0,,94.0,,,,$150.00,2,$0.00,30,1125,4 days ago,30,60,90,365,56,87.0,9.0,9.0,10.0,9.0,0.97,7166.0,2019.0,
28993251,65426971,within an hour,100%,t,4.0,"Los Angeles, CA, United States",Mid-Wilshire,Mid-Wilshire,City of Los Angeles,Los Angeles,CA,90036.0,Los Angeles,"Los Angeles, CA",US,United States,34.06673,-118.3488,Condominium,Entire home/apt,6,2.0,2.0,3.0,,225.0,,,$300.00,$120.00,3,$20.00,3,31,3 days ago,2,22,29,29,30,98.0,10.0,10.0,10.0,10.0,2.12,47879.0,2019.0,
13831673,52472476,within a few hours,100%,f,2.0,"Los Angeles, CA, United States",Mid-Wilshire,Koreatown,City of Los Angeles,Los Angeles,CA,90004.0,Los Angeles,"Los Angeles, CA",US,United States,34.07411,-118.3116,House,Private room,2,1.5,1.0,1.0,,60.0,,,"$1,800.00",$200.00,1,$0.00,30,1125,4 days ago,10,10,10,10,2,90.0,10.0,9.0,10.0,10.0,0.29,47879.0,2019.0,20.0
9826055,49378661,within an hour,100%,t,1.0,"Los Angeles, CA, United States",Silver Lake,Silver Lake,City of Los Angeles,Los Angeles,CA,90026.0,Los Angeles,"Los Angeles, CA",US,United States,34.0853,-118.27303,Bungalow,Entire home/apt,3,1.0,1.0,1.0,,58.0,,,$0.00,$90.00,2,$50.00,2,10,a week ago,0,0,0,0,56,99.0,10.0,10.0,10.0,10.0,2.02,47879.0,2019.0,20.0
34320302,259107269,within an hour,100%,t,1.0,"Burbank, CA, United States",Burbank,Burbank,Other Cities,Burbank,CA,91501.0,Los Angeles,"Burbank, CA",US,United States,34.18537,-118.28978,House,Entire home/apt,10,3.5,4.0,5.0,,298.0,,,$500.00,$250.00,1,$0.00,3,90,4 days ago,10,40,61,142,16,100.0,10.0,10.0,10.0,10.0,2.39,8775.0,2019.0,
523833,1466173,within a few hours,81%,f,23.0,"Los Angeles, CA, United States",Mid-Wilshire,Koreatown,City of Los Angeles,Los Angeles,CA,90005.0,Los Angeles,"Los Angeles, CA",US,United States,34.05958,-118.29356,Apartment,Private room,3,2.0,1.0,2.0,260.0,65.0,$325.00,"$1,300.00",,$10.00,2,$10.00,30,1125,3 months ago,22,52,82,357,131,81.0,8.0,6.0,9.0,9.0,1.44,47879.0,2019.0,
